Status,Route,Methods,Prisma Models,Services,Frontend Callers,Caller Files
USED,"/api/task-instances/[id]","GET|PATCH|DELETE","taskInstance|taskLineage","task-instance|board",15,"app/dashboard/jobs/[id]/page.tsx:357; app/dashboard/jobs/[id]/page.tsx:639; app/dashboard/jobs/[id]/page.tsx:668; app/dashboard/jobs/[id]/page.tsx:686; app/dashboard/jobs/[id]/page.tsx:702; app/dashboard/jobs/[id]/page.tsx:723; app/dashboard/jobs/[id]/page.tsx:739; app/dashboard/jobs/[id]/page.tsx:798; app/dashboard/jobs/[id]/page.tsx:849; app/dashboard/jobs/[id]/page.tsx:868; app/dashboard/jobs/page.tsx:327; app/dashboard/jobs/page.tsx:342; app/dashboard/jobs/page.tsx:354; app/dashboard/jobs/page.tsx:420; app/dashboard/jobs/page.tsx:426"
USED,"/api/task-instances/[id]/ai-summary","POST","","task-instance",1,"components/jobs/task-ai-summary.tsx:67"
USED,"/api/task-instances/[id]/collaborators","GET|POST|DELETE","","task-instance",3,"app/dashboard/jobs/[id]/page.tsx:559; app/dashboard/jobs/[id]/page.tsx:817; app/dashboard/jobs/[id]/page.tsx:836"
USED,"/api/task-instances/[id]/collection","GET|POST","taskInstance","evidence",1,"components/jobs/collection/collection-upload-modal.tsx:96"
USED,"/api/task-instances/[id]/collection/[itemId]","GET|PATCH|DELETE","taskInstance","evidence",1,"components/jobs/collection/collection-tab.tsx:189"
USED,"/api/task-instances/[id]/comments","GET|POST|DELETE","","task-instance",2,"app/dashboard/jobs/[id]/page.tsx:421; app/dashboard/jobs/[id]/page.tsx:755"
USED,"/api/task-instances/[id]/contact-labels","GET|POST|PATCH|DELETE","taskInstance|entity|taskInstanceContactLabel","task-instance-label",2,"components/jobs/contact-labels-table.tsx:28; components/jobs/send-request-modal.tsx:262"
USED,"/api/task-instances/[id]/labels","GET|POST","taskInstance","task-instance-label",1,"components/jobs/send-request-modal.tsx:246"
USED,"/api/task-instances/[id]/reconciliations","GET|POST","taskInstance|reconciliation","",2,"app/dashboard/jobs/[id]/page.tsx:433; components/jobs/reconciliation-upload-modal.tsx:105"
USED,"/api/task-instances/[id]/request/dataset","GET|PATCH","emailDraft|personalizationData","task-instance",2,"components/jobs/data-personalization/compose-send-step.tsx:283; components/jobs/data-personalization/compose-send-step.tsx:326"
USED,"/api/task-instances/[id]/request/dataset/draft","POST","emailDraft|personalizationData|user|organization","task-instance|ai-email-generation",2,"components/jobs/data-personalization/compose-send-step.tsx:161; components/jobs/data-personalization/compose-send-step.tsx:203"
USED,"/api/task-instances/[id]/request/dataset/send","POST","emailDraft|personalizationData|entity","task-instance|email-sending",1,"components/jobs/data-personalization/compose-send-step.tsx:366"
USED,"/api/task-instances/[id]/request/dataset/upload","POST","emailDraft|personalizationData","task-instance",1,"components/jobs/data-personalization/upload-step.tsx:204"
USED,"/api/task-instances/[id]/request/draft","POST","entity|user|organization","task-instance|ai-email-generation",1,"components/jobs/send-request-modal.tsx:291"
USED,"/api/task-instances/[id]/request/refine","POST","user|organization","task-instance|ai-email-generation",1,"components/jobs/send-request-modal.tsx:434"
USED,"/api/task-instances/[id]/request/reminder-preview","POST","taskInstance|user","",1,"components/jobs/send-request-modal.tsx:397"
USED,"/api/task-instances/[id]/requests","GET","emailDraft|request","task-instance",1,"app/dashboard/jobs/[id]/page.tsx:407"
USED,"/api/task-instances/[id]/table/import","POST","taskInstance","table-task|task-instance",1,"components/jobs/table/import-modal.tsx:328"
USED,"/api/task-instances/[id]/table/preview-import","POST","taskInstance","table-task",1,"components/jobs/table/import-modal.tsx:297"
USED,"/api/task-instances/[id]/timeline","GET","taskInstanceComment|request|message|reminderState","task-instance",1,"app/dashboard/jobs/[id]/page.tsx:445"
USED,"/api/task-instances/ai-generate","POST","board","",1,"components/jobs/ai-bulk-upload-modal.tsx:79"
USED,"/api/task-instances/ai-summary","POST","","task-instance",1,"components/jobs/ai-summary-panel.tsx:41"
USED,"/api/task-instances/bulk-import","POST","user","",1,"components/jobs/ai-bulk-upload-modal.tsx:217"
USED,"/api/task-instances/column-config","GET|PATCH","user|jobColumnConfig","",2,"components/jobs/configurable-table/configurable-table.tsx:186; components/jobs/configurable-table/configurable-table.tsx:209"
USED,"/api/task-lineages/[id]/schema","GET|PATCH","taskLineage","table-task",1,"components/jobs/table/data-tab.tsx:116"
USED,"/api/user/onboarding","GET|POST","","onboarding",2,"components/onboarding-checklist.tsx:91; components/onboarding-checklist.tsx:109"
USED,"/api/user/signature","GET|PUT","user","",2,"app/dashboard/settings/page.tsx:68; app/dashboard/settings/page.tsx:84"
